"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL376447","AMPL376447",0.198847677349656,3.40376977471444e-33,0.129707833317578,"Dynamic"
"AMPL371688","AMPL371688",0.100324090745408,6.62018920416234e-11,1,"Dynamic"
"AMPL371137","AMPL371137",0.66409794742528,2.49059009894226e-11,1,"Dynamic"
"AMPL371170","AMPL371170",0.216348577601729,1.80132020041909e-18,0.00139029675747974,"Dynamic"
"AMPL366134","AMPL366134",0.820165646380988,8.62202183712418e-31,1.38369757766955e-05,"Dynamic"
"AMPL366093","AMPL366093",0.111487216420597,1.8431223246016e-29,2.73413905382354e-22,"Dynamic"
"AMPL365920","AMPL365920",0.0554555275477126,6.33571024302517e-23,1,"Dynamic"
"AMPL366060","AMPL366060",0.371840115232268,2.49583048877322e-42,5.28746047324794e-10,"Dynamic"
"AMPL377076","AMPL377076",0.136190133237306,2.36381300823572e-25,1.46508478256272e-16,"Dynamic"
"AMPL366212","AMPL366212",0.650342095786821,1.61170271800662e-09,0.0641134587607486,"Dynamic"
"AMPL355442","AMPL355442",0.0518545192653944,2.51716105259493e-15,0.000157544637008232,"Dynamic"
"AMPL355412","AMPL355412",0.164998199495858,2.53112807199797e-25,1.10006419976987e-16,"Dynamic"
"AMPL371357","AMPL371357",0.0846957148001448,8.52432552884719e-21,0.00121448516914566,"Dynamic"
"AMPL355663","AMPL355663",0.104429240187253,1.03461548877921e-13,0.94809667769426,"Dynamic"
"AMPL355970","AMPL355970",0.641267554915379,3.2574689330205e-07,0,"Dynamic"
"AMPL377391","AMPL377391",0.280374504861362,9.36630340365688e-12,0.000418039829335653,"Dynamic"
"AMPL371668","AMPL371668",0.233201296362981,8.49515643208708e-28,1.30509210087163e-08,"Dynamic"
"AMPL365990","AMPL365990",0.0535830032409077,1.97039742288897e-35,9.34492457418933e-14,"Dynamic"
"AMPL371572","AMPL371572",0.689593086064101,2.4493997179995e-06,2.19501874300288e-16,"Dynamic"
"AMPL365938","AMPL365938",0.377241627655745,9.74866715512971e-55,3.02944446960696e-07,"Dynamic"
"AMPL365905","AMPL365905",0.259488656823913,1.05764038185881e-21,4.00975725411439e-17,"Dynamic"
"AMPL376910","AMPL376910",0.385091825711205,5.24915301840739e-19,3.00967020001735e-16,"Dynamic"
"AMPL366045","AMPL366045",0.0755491537630539,2.46337764502647e-20,0.545830984204171,"Dynamic"
"AMPL376601","AMPL376601",0.287792581922938,4.92521154257581e-13,1,"Dynamic"
