"","PVal","AvgMeth","PValClone"
"AMPL376447",3.40376977471444e-33,0.198847677349656,0.129707833317578
"AMPL371688",6.62018920416234e-11,0.100324090745408,1
"AMPL371137",2.49059009894226e-11,0.66409794742528,1
"AMPL371170",1.80132020041909e-18,0.216348577601729,0.00139029675747974
"AMPL366134",8.62202183712418e-31,0.820165646380988,1.38369757766955e-05
"AMPL366093",1.8431223246016e-29,0.111487216420597,2.73413905382354e-22
"AMPL365920",6.33571024302517e-23,0.0554555275477126,1
"AMPL366060",2.49583048877322e-42,0.371840115232268,5.28746047324794e-10
"AMPL377076",2.36381300823572e-25,0.136190133237306,1.46508478256272e-16
"AMPL366212",1.61170271800662e-09,0.650342095786821,0.0641134587607486
"AMPL355442",2.51716105259493e-15,0.0518545192653944,0.000157544637008232
"AMPL355412",2.53112807199797e-25,0.164998199495858,1.10006419976987e-16
"AMPL371357",8.52432552884719e-21,0.0846957148001448,0.00121448516914566
"AMPL355663",1.03461548877921e-13,0.104429240187253,0.94809667769426
"AMPL355970",3.2574689330205e-07,0.641267554915379,0
"AMPL377391",9.36630340365688e-12,0.280374504861362,0.000418039829335653
"AMPL371668",8.49515643208708e-28,0.233201296362981,1.30509210087163e-08
"AMPL365990",1.97039742288897e-35,0.0535830032409077,9.34492457418933e-14
"AMPL371572",2.4493997179995e-06,0.689593086064101,2.19501874300288e-16
"AMPL365938",9.74866715512971e-55,0.377241627655745,3.02944446960696e-07
"AMPL365905",1.05764038185881e-21,0.259488656823913,4.00975725411439e-17
"AMPL376910",5.24915301840739e-19,0.385091825711205,3.00967020001735e-16
"AMPL366045",2.46337764502647e-20,0.0755491537630539,0.545830984204171
"AMPL376601",4.92521154257581e-13,0.287792581922938,1
"AMPL365939",3.01931990419376e-19,0.585163845876843,0.278506230286107
"AMPL371758",5.75745904571383e-37,0.120489737126396,0.000188962478790235
"AMPL366066",1.00906713345076e-27,0.0967230824630907,3.8100503428955e-05
"AMPL355903",1.98118081868312e-06,0.114944184371625,1
"AMPL371618",5.87749965064096e-21,0.241339575081021,1.46239217517035e-23
"AMPL371676",2.066396524398e-16,0.621678069859561,0.0122861979550747
"AMPL376711",5.65937273531158e-21,0.194238386748289,0.336299768336384
"AMPL355560",3.0961606626397e-24,0.0828231904933375,1
"AMPL365802",1.36184802242631e-10,0.417933021245933,1.79340167859451e-74
"AMPL365898",3.07097747721441e-29,0.072740367302845,1
"AMPL371673",2.15660608198996e-05,0.246597047173207,1
"AMPL371378",4.68960877903694e-14,0.225351098307525,1.32703317931221e-130
"AMPL366081",8.01248442750946e-27,0.335613971912134,1.03606643615289e-47
"AMPL366000",1.53189635333057e-26,0.4715880446525,0.00583259997866766
"AMPL371214",2.31218456577e-12,0.440907454087144,0.0107260896972886
"AMPL355849",2.66518186301894e-36,0.347641339575082,1.84497987681978e-10
"AMPL371741",6.19483329605447e-42,0.140799423838676,4.05747008591551e-26
"AMPL371701",6.1524794654304e-26,0.130356499819949,4.27317199926258e-09
"AMPL371188",3.93275038828477e-22,0.316672668347137,2.1354134113926e-10
"AMPL371743",1.16716645094784e-30,0.329636298163486,5.55769686623352e-48
"AMPL366028",2.34970676679483e-44,0.174864962189411,1.03994656465294e-113
"AMPL376554",2.83999669209654e-24,0.0617212819589485,1
"AMPL371788",1.0718054014532e-23,0.0859200576161327,1
"AMPL355637",1.78081307274885e-07,0.600792221822114,8.72076402536962e-20
"AMPL371503",1.03035702872586e-13,0.66805905653583,1.99037383432766e-11
"AMPL371535",4.78333654362125e-18,0.185595966870724,4.11794944379808e-19
"AMPL371418",3.77426670058e-23,0.383003240907457,1.2085132535143e-18
"AMPL366243",2.99514316736354e-26,0.14094346416997,0.00171659680962091
"AMPL371353",6.57726424205116e-34,0.32538710839035,0.00723490836364988
"AMPL371655",1.77644377181139e-11,0.0848397551314366,1.35448739294185e-06
"AMPL376642",2.94762688450301e-20,0.490961469211376,5.57385714877832e-07
"AMPL365953",8.95669460039859e-10,0.508102268635212,0.391937635118859
"AMPL371580",6.40346041621736e-25,0.150018005041412,1
"AMPL371359",1.10423484616322e-28,0.615556355779619,1.70481583407008e-15
"AMPL365901",3.41936632169984e-35,0.184371624054736,2.26886324754425e-54
"AMPL371570",0.0200893004331559,0.986028087864602,1
"AMPL371814",6.23669936528781e-10,0.260568959308606,1.77260017049486e-54
"AMPL371312",2.79843398879447e-17,0.300684191573643,1.66103218670645e-11
"AMPL365804",1.04962680445426e-07,0.563917897011166,4.12053742367501e-07
"AMPL371677",7.57983427569033e-15,0.147569319409435,0.000102263632124173
"AMPL366031",3.1900972988819e-28,0.301764494058334,1
"AMPL365795",3.33434952747355e-37,0.225207057976232,2.44077255020546e-40
"AMPL371606",1.70195464692439e-07,0.208642419877567,4.3985894430318e-08
"AMPL371716",3.51544735536345e-33,0.73438962909615,1.12439783083912e-126
"AMPL371452",1.16137722236734e-07,0.833057256031695,6.35378817673442e-26
"AMPL371736",9.14079102905894e-19,0.678069859560687,2.09985496675279e-32
"AMPL365943",9.50958510653654e-30,0.318473172488297,1
"AMPL365818",8.6504308030709e-26,0.173424558876482,7.53971392762942e-26
"AMPL371486",0.0709505697217921,0.818365142239827,1
"AMPL366056",2.70635707665369e-08,0.241051494418438,0.000639544441178265
"AMPL377538",2.4712220950645e-05,0.208354339214981,9.51249212512857e-22
"AMPL371185",1.11097232672457e-10,0.442851998559599,5.81835747059691e-17
"AMPL371805",4.26182259095577e-09,0.171624054735326,1
"AMPL371231",0.0077897711329247,0.879294202376667,7.4184328878164e-14
"AMPL371552",2.39668760502298e-34,0.403456967951025,1
"AMPL371720",2.90141788300256e-15,0.296290961469206,2.23886133768134e-07
"AMPL365907",2.5966776022432e-13,0.0128195894850558,0.886161415063818
"AMPL371197",1.56605962801958e-43,0.202160604969395,2.84396652527269e-11
"AMPL371323",2.15339630358973e-19,0.926539431040689,1
"AMPL366142",2.21287908905886e-12,0.752538710839036,1.01632941170717e-228
"AMPL355654",2.00627901138912e-11,0.73316528628016,1.27580477538961e-169
"AMPL365828",1.53921588328426e-27,0.241915736406192,2.44936601073017e-08
"AMPL355639",0.000631315389200027,0.413755851638456,9.07856283714544e-141
"AMPL376721",1.54692519076359e-07,0.956859920777819,2.86505387887802e-25
"AMPL389964",8.24109434082772e-14,0.884551674468851,0
"AMPL390252",0.00332936677398621,0.936118113071658,1.16588269527328e-05
"AMPL365731",0.000629011123281876,0.624486856319764,0
"AMPL376850",0.00141020726287063,0.601440403312919,0
"AMPL376373",3.48500091507233e-05,0.937990637378461,5.86259723736622e-08
"AMPL377317",1.78174314480782e-09,0.653583003240915,1.90298266359506e-49
"AMPL377328",0.0305847139841724,0.867770975873246,8.14947421859472e-181
"AMPL390370",0.0101563931541952,0.546849117752972,0
"AMPL371591",0.0333066029648476,0.849909974792943,3.43151083732973e-135
"AMPL371522",0.000313368625817505,0.881022686352182,0
"AMPL390025",0.0426778516316833,0.76067698955708,0
"AMPL371508",3.55281392873423e-10,0.844508462369465,0.00465793740394102
"AMPL355615",7.56810742668465e-05,0.553763053655027,0
"AMPL376609",6.31202088429544e-06,0.915016204537273,3.15590771369927e-07
"AMPL388228",0.0798857688291364,0.481238746849114,0
"AMPL371634",0.0241513376703586,0.995750810226864,0.11133886659105
"AMPL371541",0.000101656161849432,0.504501260352899,4.48168961331667e-89
"AMPL388797",0.000406352394490867,0.467266834713724,0
"AMPL371547",0.122377431506222,0.709038530788618,0
"AMPL355851",8.3849358905859e-18,0.724882967230823,5.15877738756562e-40
"AMPL376496",2.54035038117625e-19,0.774720921858121,8.78092876289454e-12
"AMPL376957",0.00584861014532921,0.923514584083544,7.88344344192946e-230
"AMPL377097",2.94033283185475e-15,0.391789701116314,8.87686821556596e-125
"AMPL371255",0.000176955581803562,0.650846236946343,4.10768524837076e-141
"AMPL371813",0.00388613779435263,0.895930860640978,1.46763135564823e-43
"AMPL388838",0.076710723848188,0.987828592005761,1
"AMPL376591",0.150173912526832,0.879006121714083,4.80344810700857e-161
"AMPL377144",0.00405701146503303,0.988620813827872,1
"AMPL371421",1.86996611713556e-22,0.703781058696435,0.187108229722999
"AMPL376854",2.71850716851474e-06,0.0787180410514941,0
"AMPL371238",6.73321439912066e-74,0.846813107670148,6.39289061644858e-05
"AMPL388681",0.000406899190194521,0.46762693554195,0
"AMPL371217",0.000504589138321008,0.815916456607849,1.83774448600501e-238
"AMPL371186",6.28206853656028e-17,0.153330932661145,0.061862360417951
"AMPL378478",0.0502917561435871,0.699171768095071,3.67445804523085e-93
"AMPL390117",6.23321264502657e-23,0.87050774216781,1.96547188184447e-07
"AMPL390585",0.00161526572814159,0.604537270435718,1
"AMPL390129",0.0034030767010695,0.710262873604606,0
"AMPL371237",4.63819298674257e-24,0.66964350018005,3.52552411800725e-24
"AMPL355844",0.0293645245476304,0.979978393950307,1
"AMPL376597",2.09547492407328e-85,0.77032769175369,1.32287288384831e-07
"AMPL365812",0.0515424273521,0.418509182571117,9.73122882261158e-304
"AMPL390097",0.00168906575817711,0.88527187612532,6.52639295548111e-120
"AMPL355829",0.0322826205777782,0.832553114872166,7.07106706407586e-133
"AMPL355873",0.0106544463594382,0.792221822110193,1.61369218154212e-73
"AMPL355742",2.2865027551459e-06,0.0432841195534749,1
"AMPL355889",8.69347719736992e-10,0.196615052214621,2.80834488411421e-11
"AMPL365997",3.0163649230578e-07,0.588260712999652,0.000150098161183474
