"","PVal","AvgMeth","PValClone"
"AMPL376447",3.40376977469761e-33,0.198847677349658,0.12970783331758
"AMPL371688",6.62018920415138e-11,0.100324090745409,1
"AMPL371137",2.4905900989457e-11,0.664097947425279,1
"AMPL371170",1.80132020041809e-18,0.216348577601728,0.00139029675747973
"AMPL366134",8.62202183702787e-31,0.820165646380987,1.38369757766957e-05
"AMPL366093",1.84312232461391e-29,0.111487216420598,2.7341390538237e-22
"AMPL365920",6.33571024297231e-23,0.0554555275477134,1
"AMPL366060",2.49583048877247e-42,0.371840115232265,5.28746047324794e-10
"AMPL377076",2.36381300822366e-25,0.136190133237306,1.46508478256281e-16
"AMPL366212",1.61170271800441e-09,0.65034209578682,0.0641134587607488
"AMPL355442",2.51716105258937e-15,0.0518545192653943,0.000157544637008229
"AMPL355412",2.53112807199498e-25,0.164998199495859,1.10006419976985e-16
"AMPL371357",8.52432552882284e-21,0.084695714800144,0.00121448516914566
"AMPL355663",1.03461548878284e-13,0.104429240187252,0.948096677694257
"AMPL355970",3.25746893301442e-07,0.641267554915376,0
"AMPL377391",9.36630340366314e-12,0.280374504861361,0.000418039829335651
"AMPL371668",8.49515643208129e-28,0.233201296362982,1.30509210087166e-08
"AMPL365990",1.97039742288348e-35,0.0535830032409075,9.34492457418944e-14
"AMPL371572",2.44939971799689e-06,0.689593086064098,2.19501874300283e-16
"AMPL365938",9.74866715509383e-55,0.377241627655744,3.02944446960698e-07
"AMPL365905",1.05764038185962e-21,0.259488656823911,4.00975725411443e-17
"AMPL376910",5.24915301841317e-19,0.385091825711199,3.00967020001741e-16
"AMPL366045",2.46337764502395e-20,0.0755491537630537,0.545830984204171
"AMPL376601",4.92521154258225e-13,0.287792581922938,1
"AMPL365939",3.01931990416943e-19,0.585163845876846,0.278506230286102
"AMPL371758",5.75745904574869e-37,0.120489737126395,0.000188962478790235
"AMPL366066",1.00906713344841e-27,0.0967230824630897,3.8100503428955e-05
"AMPL355903",1.9811808186796e-06,0.114944184371624,1
"AMPL371618",5.87749965062735e-21,0.241339575081023,1.46239217517036e-23
"AMPL371676",2.0663965243871e-16,0.621678069859561,0.0122861979550747
"AMPL376711",5.65937273524616e-21,0.19423838674829,0.336299768336383
"AMPL355560",3.09616066263387e-24,0.0828231904933381,1
"AMPL365802",1.36184802242379e-10,0.417933021245949,1.7934016785946e-74
"AMPL365898",3.07097747719421e-29,0.0727403673028448,1
"AMPL371673",2.15660608198737e-05,0.246597047173208,1
"AMPL371378",4.6896087790541e-14,0.225351098307526,1.32703317931207e-130
"AMPL366081",8.01248442750974e-27,0.335613971912135,1.03606643615292e-47
"AMPL366000",1.53189635332671e-26,0.471588044652503,0.00583259997866763
"AMPL371214",2.31218456578518e-12,0.440907454087144,0.0107260896972887
"AMPL355849",2.66518186301992e-36,0.347641339575081,1.84497987681971e-10
"AMPL371741",6.19483329602727e-42,0.140799423838675,4.05747008591524e-26
"AMPL371701",6.1524794654054e-26,0.13035649981995,4.27317199926268e-09
"AMPL371188",3.93275038830621e-22,0.316672668347137,2.13541341139262e-10
"AMPL371743",1.16716645095005e-30,0.329636298163486,5.55769686623311e-48
"AMPL366028",2.34970676682115e-44,0.174864962189413,1.03994656465305e-113
"AMPL376554",2.83999669209957e-24,0.0617212819589485,1
"AMPL371788",1.07180540145515e-23,0.0859200576161325,1
"AMPL355637",1.78081307274411e-07,0.60079222182211,8.72076402536993e-20
"AMPL371503",1.03035702872138e-13,0.66805905653583,1.99037383432766e-11
"AMPL371535",4.7833365436172e-18,0.185595966870724,4.117949443798e-19
"AMPL371418",3.77426670054997e-23,0.383003240907454,1.20851325351424e-18
"AMPL366243",2.99514316737812e-26,0.140943464169968,0.00171659680962091
"AMPL371353",6.57726424204013e-34,0.325387108390349,0.00723490836364988
"AMPL371655",1.776443771808e-11,0.0848397551314368,1.35448739294189e-06
"AMPL376642",2.94762688451284e-20,0.490961469211379,5.57385714877842e-07
"AMPL365953",8.95669460042481e-10,0.508102268635218,0.39193763511886
"AMPL371580",6.40346041623415e-25,0.150018005041412,1
"AMPL371359",1.10423484616874e-28,0.615556355779618,1.70481583407009e-15
"AMPL365901",3.41936632170353e-35,0.184371624054735,2.26886324754431e-54
"AMPL371570",0.0200893004331552,0.986028087864602,1
"AMPL371814",6.23669936529636e-10,0.260568959308606,1.77260017049481e-54
"AMPL371312",2.79843398879224e-17,0.300684191573641,1.66103218670646e-11
"AMPL365804",1.04962680445036e-07,0.563917897011163,4.12053742367513e-07
"AMPL371677",7.57983427569717e-15,0.147569319409435,0.000102263632124173
"AMPL366031",3.19009729888485e-28,0.301764494058336,1
"AMPL365795",3.33434952750762e-37,0.225207057976233,2.44077255020529e-40
"AMPL371606",1.70195464692289e-07,0.208642419877566,4.39858944303167e-08
"AMPL371716",3.51544735535381e-33,0.734389629096147,1.12439783083918e-126
"AMPL371452",1.16137722236534e-07,0.833057256031689,6.35378817673412e-26
"AMPL371736",9.14079102906225e-19,0.678069859560677,2.09985496675279e-32
"AMPL365943",9.50958510648114e-30,0.318473172488297,1
"AMPL365818",8.65043080310612e-26,0.173424558876485,7.53971392762977e-26
"AMPL371486",0.0709505697217606,0.818365142239827,1
"AMPL366056",2.70635707664945e-08,0.241051494418437,0.000639544441178269
"AMPL377538",2.47122209506116e-05,0.20835433921498,9.51249212512836e-22
"AMPL371185",1.11097232672612e-10,0.442851998559597,5.81835747059679e-17
"AMPL371805",4.2618225909495e-09,0.171624054735326,1
"AMPL371231",0.00778977113293215,0.879294202376665,7.41843288781664e-14
"AMPL371552",2.39668760501889e-34,0.403456967951026,1
"AMPL371720",2.9014178830018e-15,0.296290961469211,2.23886133768136e-07
"AMPL365907",2.59667760223588e-13,0.0128195894850558,0.886161415063815
"AMPL371197",1.56605962801426e-43,0.202160604969391,2.84396652527274e-11
"AMPL371323",2.15339630359607e-19,0.926539431040691,1
"AMPL366142",2.21287908905759e-12,0.752538710839035,1.01632941170739e-228
"AMPL355654",2.00627901139116e-11,0.733165286280158,1.27580477538927e-169
"AMPL365828",1.53921588328399e-27,0.241915736406194,2.44936601073024e-08
"AMPL355639",0.000631315389200841,0.413755851638459,9.07856283714593e-141
"AMPL376721",1.5469251907637e-07,0.956859920777818,2.86505387887782e-25
"AMPL389964",8.24109434092337e-14,0.884551674468851,0
"AMPL390252",0.00332936677398349,0.93611811307166,1.1658826952733e-05
"AMPL365731",0.0006290111232823,0.62448685631977,0
"AMPL376850",0.00141020726287095,0.601440403312928,0
"AMPL376373",3.48500091506838e-05,0.937990637378466,5.86259723736637e-08
"AMPL377317",1.78174314480397e-09,0.653583003240907,1.90298266359496e-49
"AMPL377328",0.0305847139841593,0.867770975873244,8.14947421859385e-181
"AMPL390370",0.0101563931542,0.546849117752971,0
"AMPL371591",0.0333066029648518,0.849909974792942,3.43151083732954e-135
"AMPL371522",0.000313368625816572,0.881022686352179,0
"AMPL390025",0.0426778516317314,0.760676989557076,0
"AMPL371508",3.55281392873572e-10,0.844508462369463,0.00465793740394103
"AMPL355615",7.56810742668753e-05,0.553763053655023,0
"AMPL376609",6.31202088431393e-06,0.91501620453727,3.15590771369927e-07
"AMPL388228",0.0798857688292991,0.481238746849118,0
"AMPL371634",0.0241513376703681,0.995750810226864,0.11133886659105
"AMPL371541",0.000101656161849519,0.504501260352899,4.48168961331737e-89
"AMPL388797",0.000406352394490958,0.46726683471372,0
"AMPL371547",0.122377431506259,0.709038530788621,0
"AMPL355851",8.38493589058072e-18,0.724882967230825,5.15877738756562e-40
"AMPL376496",2.54035038116627e-19,0.77472092185812,8.78092876289464e-12
"AMPL376957",0.0058486101453274,0.923514584083543,7.88344344192689e-230
"AMPL377097",2.94033283185816e-15,0.391789701116313,8.87686821556457e-125
"AMPL371255",0.000176955581803568,0.650846236946345,4.10768524837032e-141
"AMPL371813",0.00388613779435465,0.895930860640979,1.46763135564812e-43
"AMPL388838",0.0767107238481703,0.987828592005762,1
"AMPL376591",0.150173912526754,0.87900612171408,4.80344810700755e-161
"AMPL377144",0.00405701146503774,0.988620813827872,1
"AMPL371421",1.86996611713228e-22,0.703781058696435,0.187108229723001
"AMPL376854",2.71850716851386e-06,0.0787180410514944,0
"AMPL371238",6.73321439897503e-74,0.846813107670148,6.39289061644858e-05
"AMPL388681",0.000406899190194531,0.467626935541952,0
"AMPL371217",0.000504589138322287,0.81591645660785,1.83774448600501e-238
"AMPL371186",6.28206853660835e-17,0.153330932661145,0.061862360417951
"AMPL378478",0.0502917561435943,0.699171768095067,3.67445804523104e-93
"AMPL390117",6.23321264504539e-23,0.870507742167807,1.96547188184445e-07
"AMPL390585",0.00161526572813979,0.604537270435722,1
"AMPL390129",0.0034030767010678,0.710262873604609,0
"AMPL371237",4.6381929868036e-24,0.66964350018005,3.52552411800734e-24
"AMPL355844",0.0293645245476083,0.979978393950306,1
